timestamp,open,high,low,close,volume,vwap,transactions,otc,ticker
2020-11-11 05:00:00,43.5467,43.82,41.9102,43.6067,155868.0,43.2895,1935,,AAON
2020-11-12 05:00:00,43.34,43.66,41.38,41.9533,201804.0,42.0174,2238,,AAON
2020-11-13 05:00:00,42.2467,43.6533,42.2467,43.3933,190183.5,43.0708,2598,,AAON
2020-11-16 05:00:00,43.8933,45.16,43.3933,44.6533,167100.0,44.4788,2835,,AAON
2020-11-17 05:00:00,44.22,45.0,43.46,44.8267,260311.5,44.5447,3777,,AAON
2020-11-18 05:00:00,44.7,45.3267,43.4133,44.6733,304650.0,44.8157,3708,,AAON
2020-11-19 05:00:00,44.6133,44.94,43.3067,43.84,191332.5,43.8277,3346,,AAON
2020-11-20 05:00:00,43.3667,44.1467,42.7667,43.6467,238467.0,43.6727,3155,,AAON
2020-11-23 05:00:00,43.82,44.28,42.9533,44.0,154054.5,43.9181,2204,,AAON
2020-11-24 05:00:00,44.7733,45.2467,44.2267,44.5333,176796.0,44.7234,2812,,AAON
2020-11-25 05:00:00,44.3,45.0667,43.3733,43.9133,173169.0,43.7799,1972,,AAON
2020-11-27 05:00:00,43.74,44.0667,43.5367,43.9467,78823.5,43.8473,830,,AAON
2020-11-30 05:00:00,43.6867,43.8333,42.7667,43.4254,258456.0,43.3463,3908,,AAON
2020-12-01 05:00:00,43.8933,44.08,42.74,42.8267,243141.0,43.0761,4652,,AAON
2020-12-02 05:00:00,42.58,42.8,41.7133,42.4867,162528.0,42.4196,2269,,AAON
2020-12-03 05:00:00,42.5467,42.8733,41.3,41.3333,263131.5,41.7849,3552,,AAON
2020-12-04 05:00:00,41.54,42.0333,41.2733,41.6333,217036.5,41.7822,3217,,AAON
2020-12-07 05:00:00,41.5867,42.01,41.1933,41.4333,183568.5,41.5301,2552,,AAON
2020-12-08 05:00:00,41.1933,41.74,40.8667,41.4867,279655.5,41.3511,3131,,AAON
2020-12-09 05:00:00,41.66,42.5,41.3733,42.2533,198456.0,42.1567,2122,,AAON
2020-12-10 05:00:00,41.92,42.3333,41.03,41.6667,164230.5,41.5208,2293,,AAON
