ticker,timestamp,open,high,low,close,volume,vwap,transactions,otc
TSLA,2025-02-11 03:52:00 UTC,347.77,351.78,325.1,326.7491,113686077,335.6596,1941668,
TSLA,2020-08-26 03:52:00 UTC,136.9333,144.8833,135.7333,142.8,211033200,141.4328,573086,
TSLA,2020-09-29 03:52:00 UTC,139.6967,142.8333,135.3333,139.4033,149222487,140.2594,830585,
TSLA,2021-05-20 03:52:00 UTC,187.6667,196.3333,186.6333,196.3,90402099,193.3629,659249,
TSLA,2021-08-30 03:52:00 UTC,238,245.7833,237.44,244.6667,54757953,241.6945,463393,
TSLA,2023-02-27 03:52:00 UTC,198,209.42,195.68,209.09,158714874,206.2991,1526015,
TSLA,2025-02-20 03:52:00 UTC,359.5,364.02,348,352.7601,43546103,353.5842,777242,
TSLA,2025-05-30 03:52:00 UTC,355.8,363.68,345.1109,345.522,107755605,353.4332,1542670,
TSLA,2025-07-01 03:52:00 UTC,301.5,317.66,293.21,300.36,140050350,300.8598,2354107,
TSLA,2020-10-01 03:52:00 UTC,144.6667,149.6267,144.4467,147.6,150160881,147.3959,870384,
TSLA,2022-05-18 03:52:00 UTC,250.54,253.5,233.3333,233.3333,84838176,241.6803,880392,
TSLA,2022-09-06 03:52:00 UTC,276.14,276.14,265.74,273.81,54535449,272.0678,850110,
TSLA,2024-08-02 03:52:00 UTC,214.63,221.85,205.78,208,78562214,209.9683,1189723,
TSLA,2024-11-19 03:52:00 UTC,339.43,347.3799,331.9,345,86265086,342.488,1226626,
TSLA,2021-11-29 03:52:00 UTC,368.3333,380.89,364.3367,380.6567,55826733,376.4554,604185,
TSLA,2023-12-12 03:52:00 UTC,240.25,241.22,233.87,236.48,93725573,235.829,1058406,
TSLA,2021-06-15 03:52:00 UTC,205.81,206.3367,198.6667,198.7667,52104066,201.9178,433085,
TSLA,2021-12-06 03:52:00 UTC,342.3267,343.4633,316.8333,336.6667,80282985,330.086,1004103,
TSLA,2021-03-15 03:52:00 UTC,229.9667,237.7267,228.0133,234,86409312,234.0427,863921,
TSLA,2021-10-20 03:52:00 UTC,286.7067,291.8,283.8633,283.9333,41183883,288.0918,399228,
TSLA,2023-01-25 03:52:00 UTC,142.47,153,138.07,152.35,191170993,143.3074,1579093,
TSLA,2023-12-08 03:52:00 UTC,242,245.27,239.2701,243.23,101266239,242.9925,1034781,
TSLA,2024-01-26 03:52:00 UTC,183.31,186.78,182.1,184.08,105369558,183.9939,1326306,
TSLA,2022-11-22 03:52:00 UTC,167.67,171.35,165.38,170.4199,76772817,168.8926,862634,
TSLA,2023-01-23 03:52:00 UTC,133.87,145.39,133.5,144.8,199006461,141.139,1478887,
TSLA,2023-07-14 03:52:00 UTC,278.06,285.3,276.07,281.76,118621611,280.6891,1266579,
TSLA,2023-12-18 03:52:00 UTC,253.5,258.74,250.94,250.94,113151752,255.019,1222155,
TSLA,2022-04-11 03:52:00 UTC,336.51,337,320.6667,320.6667,57503130,329.4293,748818,
TSLA,2022-07-12 03:52:00 UTC,231.8467,239.7733,228.3683,232.1,86212470,233.1134,685687,
TSLA,2023-04-20 03:52:00 UTC,169.69,171.48,160.56,163.1,208542632,164.9562,2473580,
TSLA,2024-02-21 03:52:00 UTC,192.16,199.44,191.28,196.2,102086619,194.8489,1057022,
TSLA,2024-06-18 03:52:00 UTC,188,188.95,182.37,184.68,66030372,184.3501,836964,
TSLA,2025-02-07 03:52:00 UTC,370.5,380.5459,357.32,357.36,67020376,368.8332,1177398,
TSLA,2022-10-10 03:52:00 UTC,223.46,226.99,218,223.0001,66613205,223.4577,888252,
TSLA,2022-02-08 03:52:00 UTC,303.6667,308.7633,298.2667,308,49052994,304.8745,504357,
TSLA,2020-11-17 03:52:00 UTC,150.5667,155.5667,144.3367,146.1,182493855,149.1093,1214217,
TSLA,2022-09-26 03:52:00 UTC,275.33,284.09,269.8,276.4001,56538276,278.2847,901645,
TSLA,2022-10-06 03:52:00 UTC,241.8,244.58,235.35,236.7,67988146,239.3792,824972,
TSLA,2023-05-11 03:52:00 UTC,169.06,174.9,166.79,174.76,102161640,169.5394,1110708,
TSLA,2021-08-11 03:52:00 UTC,236.2167,238.3933,234.7367,235.8033,28353849,236.1868,252285,
TSLA,2022-01-24 03:52:00 UTC,317.2233,317.45,283.8233,303.3333,149123064,295.6426,1591530,
TSLA,2023-08-23 03:52:00 UTC,236.6,243.75,226.5,240.95,99073781,235.039,1083906,
TSLA,2023-10-18 03:52:00 UTC,253.95,254.63,230,232.4,121561864,246.1037,1468554,
TSLA,2022-08-19 03:52:00 UTC,301.9767,303.627,292.5,295.2667,59450583,295.6524,579490,
TSLA,2023-08-18 03:52:00 UTC,217.48,218.8,212.36,218.8,133574363,215.3258,1454493,
TSLA,2023-10-10 03:52:00 UTC,258.12,268.94,257.27,263.96,121108609,264.9632,1239862,
TSLA,2024-02-09 03:52:00 UTC,190.38,194.12,189.48,193.51,82777006,192.4866,964636,
TSLA,2024-03-27 03:52:00 UTC,179.21,181.91,176,180.37,79737478,179.1419,926939,
TSLA,2020-10-06 03:52:00 UTC,140.6667,142.9266,135.35,137.74,145524459,139.3391,866490,
TSLA,2023-11-21 03:52:00 UTC,235.9,243.62,233.34,239.66,120885405,240.8865,1215232,
TSLA,2021-08-27 03:52:00 UTC,235,238.3333,234.0334,237.4667,39701016,236.8472,314583,
TSLA,2021-12-07 03:52:00 UTC,345.1267,352.9333,336.3367,352.6633,54120228,348.1469,530779,
TSLA,2025-04-30 03:52:00 UTC,289.57,290,270.78,282.5314,119229332,278.1805,1588360,
TSLA,2023-07-10 03:52:00 UTC,273.5,277.52,265.1,268.4,117909210,269.9835,1360051,
TSLA,2022-07-08 03:52:00 UTC,242.7667,259.3333,240.7302,256.4667,100358292,250.1597,820135,
TSLA,2020-11-12 03:52:00 UTC,138.8333,141,136.5067,137,58535991,138.4798,392266,
TSLA,2024-11-11 03:52:00 UTC,330.3,358.64,330,357.98,204305578,346.2278,3203391,
TSLA,2022-04-19 03:52:00 UTC,336.06,344.98,331.775,339.3333,48349635,340.4321,522465,
TSLA,2021-03-09 03:52:00 UTC,193.72,231.3,192.3333,229.7367,199168914,215.1141,1853967,
TSLA,2023-09-06 03:52:00 UTC,254.79,257.49,245.06,250.66,115030484,249.5065,1209122,
TSLA,2020-09-28 03:52:00 UTC,138.68,142.7567,138.3333,139.9333,147235734,140.1993,860427,
TSLA,2023-05-24 03:52:00 UTC,184.43,187.94,178.22,185.25,135408920,181.4736,1265420,
TSLA,2023-08-24 03:52:00 UTC,242,244.05,228.1801,230,97740754,232.0138,1103432,
TSLA,2024-06-03 03:52:00 UTC,177.8,182.6389,174.49,176.3,66373277,178.3884,890510,
TSLA,2025-02-14 03:52:00 UTC,359.52,363.81,347.5,354,66871240,353.5843,1057877,
TSLA,2020-12-11 03:52:00 UTC,205.4333,208,198.9333,202.5467,137077221,203.5056,880091,
TSLA,2022-08-29 03:52:00 UTC,281.91,288.09,280,285.7,40363038,284.3929,690086,
TSLA,2021-09-22 03:52:00 UTC,246.37,251.5333,246.3167,251.5333,41986338,249.2027,314078,
TSLA,2024-04-17 03:52:00 UTC,157.29,159.79,153.78,154.71,80401861,155.9879,1003677,
TSLA,2024-03-21 03:52:00 UTC,179,179,171.8,173.43,71067644,174.3849,924770,
TSLA,2025-06-24 03:52:00 UTC,353.8,359.03,338.1,338.2012,110039097,344.8044,1710341,
TSLA,2023-01-12 03:52:00 UTC,123.22,124.6,117,123,166616318,120.9951,1431789,
TSLA,2023-01-31 03:52:00 UTC,165.89,174.3,162.78,171.8205,193171153,170.7714,1495933,
TSLA,2025-06-27 03:52:00 UTC,327.15,329.3393,317.495,322.71,81983396,323.6832,1194942,
TSLA,2020-11-20 03:52:00 UTC,166.1167,167.5,163.0033,163.5333,96187062,164.8232,643217,
TSLA,2021-11-23 03:52:00 UTC,384.9233,393.5,354.2333,366.9333,106558581,371.4169,1024416,
TSLA,2022-02-07 03:52:00 UTC,308.5967,315.9233,300.903,303.17,58676787,307.4841,631812,
TSLA,2023-06-09 03:52:00 UTC,246,252.42,242.02,243.88,198071309,247.1893,2090756,
TSLA,2021-06-29 03:52:00 UTC,229.33,229.3333,225.2967,226.67,51022425,226.8838,387558,
TSLA,2024-02-27 03:52:00 UTC,199.75,205.6,198.26,199.87,107292228,201.4911,1074723,
TSLA,2024-07-05 03:52:00 UTC,250.56,253.78,242.4601,251.01,151335735,248.0982,1718914,
TSLA,2025-06-18 03:52:00 UTC,318,329.32,315.45,322.5,91845836,323.2534,1182657,
TSLA,2021-12-20 03:52:00 UTC,303.6667,307.2295,297.7967,301.0133,54464130,301.2455,686741,
TSLA,2023-03-10 03:52:00 UTC,171.84,178.29,168.44,174.47,189768478,174.2803,1623833,
TSLA,2024-06-27 03:52:00 UTC,194.9,198.72,194.05,197.63,70158512,196.1904,877225,
TSLA,2025-02-19 03:52:00 UTC,354,367.34,352.19,360.8268,64331504,361.7723,960104,
TSLA,2021-01-21 03:52:00 UTC,286,286.33,280.3333,280.6633,58343877,282.3916,481915,
TSLA,2021-05-05 03:52:00 UTC,225.7667,228.4318,222.1667,222.17,64391898,224.875,556951,
TSLA,2021-12-09 03:52:00 UTC,352.67,357.2107,332.3333,332.5167,57627984,342.4318,623358,
TSLA,2023-02-16 03:52:00 UTC,216.6,217.82,196.74,198.23,227093447,211.4213,2110106,
TSLA,2021-11-16 03:52:00 UTC,334.3333,353,332.0033,352.7333,76248597,347.1669,707607,
TSLA,2022-02-24 03:52:00 UTC,241.2133,267.6667,230.54,263.8333,132560145,251.5357,1308812,
TSLA,2021-05-03 03:52:00 UTC,236.0067,236.21,226.8333,227.1,79990047,230.0722,751380,
TSLA,2023-05-25 03:52:00 UTC,185.98,187.25,180.58,184.47,94785379,184.1445,953187,
TSLA,2021-02-23 03:52:00 UTC,231.7333,240,206.3333,238.8333,198432213,225.1087,2038616,
TSLA,2021-06-04 03:52:00 UTC,191.9333,200.2033,190.4693,200,70366911,197.869,558646,
TSLA,2024-05-02 03:52:00 UTC,182.66,185.5,176.02,180.66,86946652,179.7483,934732,
