ticker,timestamp,open,high,low,close,volume,vwap,transactions,otc,rsi,atr
TSLA,2023-12-26 03:52:00 UTC,253.22,257.97,252.91,256.95,84069787,256.3647,946295,,51.8332277431126,14.405728936398454
TSLA,2022-06-01 03:52:00 UTC,253.2533,257.3267,243.64,244.6667,74886786,249.0772,657112,,47.23086235715828,14.35436972665571
TSLA,2023-10-02 03:52:00 UTC,253.33,254.2799,239.35,251.81,121585025,249.3618,1311362,,50.01069380773426,14.395479031894588
TSLA,2023-12-18 03:52:00 UTC,253.5,258.74,250.94,250.94,113151752,255.019,1222155,,49.667518544060414,13.924373386759262
TSLA,2025-04-15 03:52:00 UTC,253.5,258.75,247.54,250.3,77067499,254.093,969787,,49.39897394056921,13.730489573419314
TSLA,2023-10-17 03:52:00 UTC,253.51,257.183,247.08,254.1,91893737,253.1962,1019723,,51.0899233572918,13.471383175317932
TSLA,2023-06-15 03:52:00 UTC,253.7,258.95,247.29,253.5,156986425,255.4822,1648878,,50.801255733267894,13.341998662795223
TSLA,2023-12-22 03:52:00 UTC,253.7,258.22,251.37,252.57,92113907,255.2123,969291,,50.3266020918039,12.878284472595565
TSLA,2022-05-31 03:52:00 UTC,253.9067,259.6,244.7433,253.23,97315428,253.3151,863734,,50.67879589519692,13.01959986741017
TSLA,2023-10-18 03:52:00 UTC,253.95,254.63,230.0,232.4,121561864,246.1037,1468554,,40.83759646492976,13.848914162595158
TSLA,2025-04-11 03:52:00 UTC,254.18,258.68,241.3629,252.95,124778618,248.5623,1584122,,50.95605548583513,14.736848865266934
TSLA,2025-03-31 03:52:00 UTC,254.2,260.56,243.3601,256.1,127822220,252.3799,1660605,,52.30267831226431,14.91278108917644
TSLA,2023-06-16 03:52:00 UTC,254.44,263.6,252.6,261.4899,160904020,260.5709,1569426,,54.59974552968953,14.63329672566384
TSLA,2021-02-22 03:52:00 UTC,254.5,256.1667,236.3333,236.87,109753521,246.4177,1349518,,44.14231327948326,15.384961245259278
TSLA,2023-09-06 03:52:00 UTC,254.79,257.49,245.06,250.66,115030484,249.5065,1209122,,49.927249245294334,15.758892584883615
TSLA,2023-08-30 03:52:00 UTC,254.9,260.51,250.59,256.45,120142397,255.8593,1293801,,52.16720948225526,15.341828828820498
TSLA,2021-04-14 03:52:00 UTC,254.9067,262.23,242.6767,244.2933,144475863,251.7873,1249456,,47.37525946519597,15.642648198190463
TSLA,2022-05-16 03:52:00 UTC,255.0,258.09,239.6962,240.74,84447552,246.9093,833118,,46.04392292654295,15.839159041176856
TSLA,2023-08-02 03:52:00 UTC,255.27,259.52,250.49,255.43,99890516,254.7275,1220781,,52.04396286212347,16.04921910966422
TSLA,2023-08-31 03:52:00 UTC,255.29,261.18,255.0,257.96,104425861,258.0333,1065006,,53.01307538145328,15.34427488754535
TSLA,2024-07-16 03:52:00 UTC,255.35,258.62,245.8001,256.03,123728445,252.9786,1350065,,52.14734121442199,15.163962395577826
TSLA,2024-10-31 03:52:00 UTC,255.4,259.75,248.89,250.85,62107416,252.8971,898741,,49.79684001547141,14.856536510179412
TSLA,2023-12-29 03:52:00 UTC,255.42,256.5,247.43,248.48,98678634,250.3954,1061445,,48.714923863513974,14.443212473738024
TSLA,2025-03-24 03:52:00 UTC,255.9,282.54,253.22,282.3507,157887714,271.0501,2139605,,61.566630222125575,15.844411582756738
TSLA,2023-10-06 03:52:00 UTC,256.0,261.65,250.65,260.52,116533587,256.2669,1278513,,52.44447058997729,16.97700361255983
TSLA,2023-10-09 03:52:00 UTC,256.0,261.36,252.05,258.17,100390536,256.2839,1143390,,51.55886466418493,16.429360497376983
TSLA,2022-03-15 03:52:00 UTC,256.0667,268.5233,251.6667,267.2833,64082385,262.5829,611223,,54.750045691387015,16.4598776047072
TSLA,2023-06-22 03:52:00 UTC,256.3,266.75,248.25,265.8,163861891,259.7358,1729227,,54.12505508155625,16.643693490085255
TSLA,2021-01-07 03:52:00 UTC,256.3333,278.24,255.7333,276.5,152149215,266.7895,1163300,,57.86188692327842,17.06247966936488
TSLA,2024-10-25 03:52:00 UTC,256.35,269.49,253.25,267.09,157024387,265.6762,1911632,,53.7177301051123,17.504445407267387
TSLA,2023-08-07 03:52:00 UTC,256.6,257.5,242.76,251.7499,109333843,247.8398,1356274,,47.717786980204004,17.991985021034
TSLA,2021-10-01 03:52:00 UTC,256.6667,260.6667,254.53,258.3333,48128070,257.3184,358186,,50.2842230332522,17.34375751953157
TSLA,2022-10-03 03:52:00 UTC,256.68,260.0,241.01,243.7,95378893,245.4483,1538432,,44.99690052647852,17.46134626813646
TSLA,2024-10-02 03:52:00 UTC,256.8,260.0,241.5,248.2019,91492466,247.4763,1253980,,46.848544435083596,17.535535820412427
TSLA,2021-10-06 03:52:00 UTC,257.1267,262.22,255.0533,261.2467,42781200,260.2597,328579,,51.90131707381636,17.284290404668685
TSLA,2023-12-20 03:52:00 UTC,257.21,259.84,246.47,248.35,122334825,254.6302,1273119,,47.13100141676271,17.105176804335205
TSLA,2023-09-22 03:52:00 UTC,257.36,258.48,243.2,244.2,125383055,251.5271,1374517,,45.676170223523656,16.974807032596978
TSLA,2023-12-27 03:52:00 UTC,257.4,263.34,256.61,262.63,104180244,261.7339,1041263,,52.66423972131118,17.129463673125763
TSLA,2023-07-24 03:52:00 UTC,257.5,270.88,253.0,270.04,133715322,263.9874,1544934,,55.16167244095288,17.183073410759636
TSLA,2023-10-13 03:52:00 UTC,257.5,259.6,250.22,251.0,100141464,254.1051,1102583,,48.13430636720649,17.371425309991093
TSLA,2023-06-29 03:52:00 UTC,257.55,261.41,253.61,257.55,129838859,256.8755,1320261,,50.47188377929065,16.874180644991732
TSLA,2021-09-27 03:52:00 UTC,258.0,266.3333,256.1633,262.3267,81677208,262.2723,601852,,52.1650608826682,16.395310598920894
TSLA,2025-03-10 03:52:00 UTC,258.0,259.7,215.0062,215.0062,179352247,232.8912,2809033,,38.2240722752882,18.60425269899797
TSLA,2023-10-10 03:52:00 UTC,258.12,268.94,257.27,263.96,121108609,264.9632,1239862,,52.39726083818639,21.127791791926686
