band,observations,avg_relative_10d,win_relative_10d,avg_relative_20d,win_relative_20d
≤−2,248,0.8494871230087641,62.903225806451616,0.8416903571173094,58.06451612903226
−2 to −1,1780,-0.20342337399670932,47.69662921348314,-0.3636672481055482,45.89887640449438
−1 to +1,9000,-0.13665656804325593,46.44444444444444,-0.3756375170611439,44.81111111111111
+1 to +2,1684,-0.49836819037485053,46.19952494061758,-0.4242916206615089,47.44655581947744
≥+2,368,-0.019826151023342918,49.184782608695656,-0.007205693516878509,47.28260869565217
