timeframe,ticker,date,event,duration,macd_slope,signal_slope,slope_norm,macd_level,signal_level,both_above_zero,line_shape,return_1,short_mfe_1,short_mae_1,return_2,short_mfe_2,short_mae_2,return_4,short_mfe_4,short_mae_4,return_8,short_mfe_8,short_mae_8,recross_two_bars,fails_two_bars,cross_macd_slope,cross_signal_slope,return_3,short_mfe_3,short_mae_3,return_5,short_mfe_5,short_mae_5,return_10,short_mfe_10,short_mae_10,slope_quartile
Weekly,ALAB,2024-10-04,early_rising_blue,3,0.1464265892371605,0.05579287854113775,2.024694482495315,0.2549656045854627,-0.00885687794885038,False,MACD leads signal,0.2741688956820787,0.022927015666794115,0.35154757355750843,0.2776079480320979,0.022927015666794115,0.35154757355750843,0.38803974016048914,0.022927015666794115,0.4359954145968665,0.972678639663737,0.022927015666794115,1.1752006113870843,True,False,,,,,,,,,,,,Q3
Weekly,ALAB,2025-06-06,early_rising_blue,3,0.09902381034078336,0.0370353077705437,1.4994755110756692,-0.23596402142357153,-0.41270506581151356,False,MACD leads signal,-0.011239669421487575,0.023801652892561975,0.07151515151515153,0.025619834710743916,0.023801652892561975,0.12197245179063354,0.000550964187327807,0.06578512396694214,0.12197245179063354,0.4446280991735536,0.06578512396694214,0.5774104683195593,True,False,,,,,,,,,,,,Q2
Weekly,ALAB,2026-01-30,early_rising_blue,3,0.0412685898671179,0.015220046076205584,0.9058514288853189,-0.12007602061305209,-0.190500640446577,False,MACD leads signal,0.12767228787677598,0.08710662594608953,0.1287345638029478,-0.14141548267162407,0.18623024830699786,0.28044084450936135,-0.2110609480812642,0.2204886469260391,0.28044084450936135,-0.2532864161465941,0.2890718364095074,0.28044084450936135,True,False,,,,,,,,,,,,Q1 weak
Weekly,ALAB,2026-05-08,early_rising_blue,3,0.07096458516478948,0.026693488618448898,1.800812053901726,0.058795342733418576,-0.06879959405940858,False,MACD leads signal,0.16462285399669652,0.03598778717653539,0.20008508934381108,0.5360128134541269,0.03598778717653539,0.5807097452324943,0.5869663146303619,0.03598778717653539,0.8638069973472147,1.0342359477451324,0.03598778717653539,1.5000060063066223,True,False,,,,,,,,,,,,Q2
Weekly,ALAB,2025-01-24,bearish_crossover,18,0.10062192546779057,0.05651762742426188,3.0418393910661496,0.8756632526059496,0.8836128175417979,True,MACD and signal aligned,-0.12228472522717437,0.31155344006923413,-0.0826482042405885,-0.12340977931631325,0.31155344006923413,-0.03833838165296399,-0.258156642146257,0.31155344006923413,-0.03833838165296399,-0.3846819558632627,0.4782345305062743,-0.03833838165296399,False,True,-0.1059172480105286,-0.001987391233962077,,,,,,,,,,Q4 steep
Weekly,ALAB,2025-10-17,bearish_crossover,21,0.08113661307687438,0.055559977449717586,2.037059966983416,0.45008877838697314,0.5580763792794192,True,MACD and signal aligned,0.03235294117647047,0.07065081351689628,0.06508135168961182,0.16821026282853557,0.07065081351689628,0.26320400500625785,-0.09674593241551943,0.14490988735919896,0.26320400500625785,-0.06852315394242814,0.17759699624530678,0.26320400500625785,False,True,-0.138900755440708,-0.02699690022311141,,,,,,,,,,Q3
Weekly,ALAB,2026-03-20,bearish_crossover,9,0.04074650577473373,0.01392991016547293,1.0057302501704235,-0.12136341183572208,-0.11332191342137755,False,MACD leads signal,-0.030765253360910072,0.044812133746983784,0.09039986211651141,0.009479489831092591,0.15641158221302998,0.09039986211651141,0.4999138228197173,0.15641158221302998,0.5132712857635298,1.0051706308169597,0.15641158221302998,1.0662271630472246,False,True,-0.018080752321363733,-0.0020103746035861347,,,,,,,,,,Q1 weak
Weekly,ALAB,2026-07-24,bearish_crossover,13,0.07439693148958579,0.03946567636095726,1.9438490442199037,0.37924263547912573,0.40752214065329284,True,MACD and signal aligned,0.06739145346045694,0.16108786610878656,0.17291995335756916,0.14606625968859333,0.16108786610878656,0.2615748679607657,,,,,,,False,True,-0.1091287408077593,-0.007069876293541721,,,,,,,,,,Q3
Weekly,AMD,2021-11-19,early_rising_blue,3,0.0802043915524594,0.02537324491877234,2.4211804573252045,0.24290814439304895,0.11510379665023265,True,MACD leads signal,-0.0038607554211440576,0.06505630268322504,0.04163116916543341,-0.07335435300173743,0.09452416189434398,0.05823241747635288,-0.1136349012290071,0.15964223666430732,0.05823241747635288,-0.11923299658966602,0.19548291615726143,0.05823241747635288,True,False,,,,,,,,,,,,Q3
Weekly,AMD,2022-04-01,early_rising_blue,3,0.020746518228531102,0.00657131950000886,0.5542358257503879,-0.28000948234674783,-0.3121663322280146,False,MACD leads signal,-0.06645715870228297,0.07181347629170898,0.025409926980312303,-0.1398465662260837,0.14114058600610035,0.025409926980312303,-0.2095387743784084,0.22340327202144372,0.025409926980312303,-0.05481098068213319,0.2303355208429615,0.025409926980312303,True,False,,,,,,,,,,,,Q1 weak
