ticker,date,event,side,index,close,histogram,macd,signal,both_above_zero,return_1,mfe_1,mae_1,return_2,mfe_2,mae_2,return_3,mfe_3,mae_3,return_5,mfe_5,mae_5,return_10,mfe_10,mae_10,fails_two_bars,recross_two_bars,days_to_next_flip,flip_date,held_until_flip,new_flip_return_5
SMH,2021-09-24,first_dark_red,short,25,136.195,-0.1985319351375806,-0.4024884060132812,-0.20395647087570057,False,0.0035610705238811047,0.017181247476045436,-3.671206725652798e-05,0.04368736003524354,0.044898858254708185,-3.671206725652798e-05,0.05811520246705082,0.061015455780314864,-3.671206725652798e-05,0.058372186937846404,0.07357098278204044,-3.671206725652798e-05,0.06476008664047872,0.08667719079261349,-3.671206725652798e-05,False,False,36.0,2021-11-15,-0.10393186240317198,-0.022580645161290436
SMH,2021-09-30,reaccel_in_red,short,29,128.135,-0.12834477876060224,-0.4576645761026866,-0.3293197973420844,False,-0.0008584695828619537,0.015296367112810683,0.005462988254575363,0.02520778866039719,0.02922698716197758,0.005462988254575363,0.011511296679283523,0.02922698716197758,0.005462988254575363,-0.003824091778202643,0.02922698716197758,0.015569516525539617,-0.016115815350997043,0.02922698716197758,0.016740156865805655,False,False,32.0,2021-11-15,-0.1733718343934132,-0.022580645161290436
SMH,2021-10-06,first_dark_red,short,33,127.045,-0.16868389858506727,-0.6665328281979358,-0.49784892961286853,False,-0.012436538234483763,-0.01149199102680143,0.02428273446416629,-0.0025975048211264173,-0.0009839033413356901,0.02428273446416629,0.0033846274941949916,0.0036601204297690426,0.02428273446416629,0.005037585107639075,0.017631547876736597,0.02428273446416629,-0.04884096186390652,0.017631547876736597,0.05439017670904023,False,False,28.0,2021-11-15,-0.1834389389586366,-0.022580645161290436
SMH,2021-10-18,early_rising_blue,long,41,132.325,0.17116752149010372,-0.3235693384006812,-0.4947368598907849,False,0.011449083695446838,0.011449083695446838,0.0023049310409973822,0.006990364632533552,0.012318156055167284,0.0023049310409973822,0.018477234082751037,0.018949556017381575,0.0023049310409973822,0.014585301341394352,0.026147742301152466,0.0023049310409973822,0.045834120536557776,0.0464009068581146,0.0023049310409973822,False,False,,,,
SMH,2021-10-25,first_dark_blue,long,46,134.255,0.3948786506817517,0.33365257385025926,-0.06122607683149246,False,0.005698111802167727,0.015716360656958805,-0.002048340843916474,-0.0027931920598860405,0.015716360656958805,0.004506349856616021,0.016200513947339124,0.016498454433726994,0.004506349856616021,0.030799597780343246,0.03135823619232059,0.004506349856616021,0.12450188074932034,0.13165245242262857,0.004506349856616021,False,False,34.0,2021-12-13,0.11567539384008052,-0.026905230830857607
SMH,2021-11-03,reaccel_in_blue,long,53,141.3,0.227430983134711,0.634981072167079,0.407550089032368,True,0.0414012738853502,0.047770700636942776,-0.006086341118188177,0.04953998584571839,0.060651096956829464,-0.006086341118188177,0.06843595187544227,0.07523000707714078,-0.006086341118188177,0.03609341825902335,0.08262561924982292,-0.006086341118188177,0.07144373673036086,0.08262561924982292,-0.006086341118188177,False,False,27.0,2021-12-13,0.06004953998584561,-0.026905230830857607
SMH,2021-11-10,first_dark_blue,long,58,146.4,0.19482790374926973,0.9044027481869785,0.7095748444377088,True,0.01799863387978129,0.02083333333333326,-0.009016393442622839,0.028346994535519254,0.032479508196721296,-0.009016393442622839,0.02698087431693974,0.035194672131147575,-0.009016393442622839,0.03411885245901636,0.04323770491803258,-0.009016393442622839,0.053073770491803174,0.0888661202185792,-0.009016393442622839,False,False,22.0,2021-12-13,0.023121584699453468,-0.026905230830857607
SMH,2021-11-19,first_dark_red,short,65,156.1,-0.10876267475279633,0.5161762253328814,0.6249389000856778,True,0.015086483023702635,0.015759128763613073,0.021204356181934614,0.022229340166559863,0.03917360666239578,0.021204356181934614,0.01236386931454203,0.04077514413837269,0.021204356181934614,0.0024983984625239763,0.04583600256246001,0.021204356181934614,0.03907751441383722,0.06947469570787956,0.021204356181934614,False,False,20.0,2021-12-20,0.06627162075592563,-0.07522898013790269
SMH,2021-11-22,reaccel_in_red,short,66,153.745,-0.13439323893582633,0.45694735141589493,0.5913405903517213,True,0.007252268366450987,0.02445607987251608,0.0037399590230575708,-0.002764317538781702,0.026082149012976008,0.0037399590230575708,0.026309798692640496,0.031220527496829242,0.0037399590230575708,0.008423038147582163,0.031220527496829242,0.01717129012325591,-0.022960096263293206,0.05522130801001668,0.026277277309831204,False,False,19.0,2021-12-20,0.05196916972909693,-0.07522898013790269
SMH,2021-12-01,first_dark_red,short,72,151.91,-0.3718734446059984,-0.24673671510035283,0.12513672950564558,False,-0.002600223816733749,0.015403857547231947,0.011026265551971726,0.008788098216048978,0.020670133631755516,0.018497794746889618,0.012573234151800339,0.04380883417813175,0.018497794746889618,-0.030840629319992097,0.04380883417813175,0.03816404450003308,-0.020867618984925285,0.04380883417813175,0.03816404450003308,False,False,13.0,2021-12-20,0.04051741162530442,-0.07522898013790269
SMH,2021-12-15,early_rising_blue,long,82,155.08,0.024171240379612297,-0.17363988602139463,-0.19781112640100693,False,-0.04346143925715762,0.007060871808099112,0.04849110136703638,-0.04794299716275474,0.007060871808099112,0.054294557647665775,-0.0601302553520765,0.007060871808099112,0.07099561516636588,-0.014605364972917312,0.007060871808099112,0.07099561516636588,-0.001063966984782172,0.02501934485426882,0.07099561516636588,False,False,,,,
SMH,2021-12-16,first_dark_blue,long,83,148.34,0.021134600842511425,-0.17139287534786768,-0.1925274761903791,False,-0.004685182688418443,0.011359040043144253,0.011325333692867812,-0.017426183092894787,0.011359040043144253,0.02878522313603893,0.01806660374814628,0.01901038155588508,0.02878522313603893,0.039031953620062065,0.046177699878657164,0.02878522313603893,0.040818390184710784,0.07159228798705675,0.02878522313603893,True,True,5.0,2021-12-23,0.039031953620062065,0.0017193278401350653
SMH,2021-12-22,first_dark_red,short,87,152.815,-0.009919983108945263,-0.2083476362373103,-0.19842765312836505,False,-0.008605176193436481,-0.001635965055786448,0.015541668029970923,-0.03576219611949094,-0.001635965055786448,0.036138468082321795,-0.025553774171383603,-0.001635965055786448,0.04021202107123001,-0.013742106468605852,-0.001635965055786448,0.04021202107123001,-0.0018650001635964752,0.019173510453816767,0.042731407257140974,True,True,11.0,2022-01-07,0.028596669175146472,-0.03374987369059257
SMH,2021-12-28,early_rising_blue,long,90,156.72,0.0907943001826626,-0.07114488550504464,-0.16193918568770724,False,-0.0001595201633486365,0.0067317508933129044,0.006253190403266884,-0.011517355793772333,0.0067317508933129044,0.013303981623277283,-0.014835375191424083,0.0067317508933129044,0.015090607452782123,0.0016590096988258196,0.016749617151607943,0.019971924451250622,-0.032446401225114885,0.016749617151607943,0.08202526799387433,False,False,,,,
SMH,2021-12-31,first_dark_blue,long,93,154.395,0.15454742829865326,0.10353190461213292,-0.05101552368652032,False,0.02205382298649572,0.022377667670585133,-0.005343437287476771,0.016742770167427645,0.032060623724861514,0.005213899413841205,-0.018135302309012724,0.032060623724861514,0.018718222740373824,-0.0385375174066519,0.032060623724861514,0.04080443019527846,-0.0060882800608828,0.032060623724861514,0.06820169046925095,False,False,22.0,2022-02-02,-0.081446938048512,0.016252996756451976
SMH,2022-01-13,first_dark_red,short,102,150.27,-0.17246628798987607,-0.2784405381341646,-0.1059742501442885,False,-0.021195182005723012,0.008850735343049254,0.02279230718040859,0.024489252678512097,0.026419112264590372,0.02279230718040859,0.05144074000133103,0.052072935382977414,0.02279230718040859,0.09579423703999479,0.09659279962733758,0.02279230718040859,0.1292673188261131,0.17029347175084852,0.02279230718040859,False,False,27.0,2022-02-23,0.14184467957676183,-0.03985886549571549
SMH,2022-01-19,reaccel_in_red,short,105,142.54,-0.14687582383702258,-0.3620140978973615,-0.21513827406033892,False,0.03062298302230937,0.03069313876806512,0.015749964922127102,0.04675880454609227,0.047600673495159285,0.015749964922127102,0.03455170478462177,0.09765679809176364,0.015749964922127102,0.05942191665497398,0.09765679809176364,0.015749964922127102,0.005051213694401535,0.12529816191946108,0.015749964922127102,False,False,24.0,2022-02-23,0.0953065806089517,-0.03985886549571549
SMH,2022-01-26,first_dark_red,short,110,134.07,-0.22048633557431485,-0.687205132519139,-0.4667187969448241,False,0.04270157380472883,0.04549862012381589,0.012120534049377296,0.02405459834414858,0.0700380398299395,0.012120534049377296,-0.027075408368762544,0.0700380398299395,0.027075408368762544,-0.057805623927798866,0.0700380398299395,0.0592973819646454,-0.07499813530245403,0.0700380398299395,0.07520548966957574,False,False,19.0,2022-02-23,0.03815171179234711,-0.03985886549571549
SMH,2022-02-04,early_rising_blue,long,117,136.265,0.21032027352379407,-0.3015221101576466,-0.5118423836814406,False,0.001577807947748866,0.016145011558360567,0.003155615895497621,0.022089311268484346,0.025171540747807697,0.007301948409349279,0.057681723113051975,0.057885737350016786,0.007301948409349279,-0.02671265548746915,0.06539757090962484,0.03284042123802877,-0.02671265548746915,0.06539757090962484,0.039738744358419176,False,False,,,,
SMH,2022-02-11,first_dark_blue,long,122,132.625,0.31892644327544817,0.19238497923844017,-0.12654146403700797,False,-0.000678605089538209,0.020395852968897454,0.013157398680490151,0.05366635249764373,0.05489161168708767,0.013157398680490151,0.05345900094250711,0.05628652214891616,0.013157398680490151,0.0,0.05628652214891616,0.013383600377002924,0.010933081998114824,0.05628652214891616,0.06970782280867105,False,False,22.0,2022-03-16,-0.012780395852968862,0.006835713740166449
SMH,2022-02-28,first_dark_red,short,132,134.075,-0.10897704328570226,-0.13382338069073912,-0.024846337405036865,False,0.03154950587357819,0.041133693828081186,0.003393622972217125,-0.00014917024053717753,0.041133693828081186,0.00548200633973539,0.021405929517061217,0.041133693828081186,0.00548200633973539,0.09513332090247995,0.09561812418422522,0.00548200633973539,0.1098638821555099,0.11497296289390257,0.00548200633973539,False,False,27.0,2022-04-06,0.05716949468581012,0.028162328929673297
SMH,2022-03-04,reaccel_in_red,short,136,127.675,-0.06944984008445151,-0.17510308318501255,-0.10565324310056104,False,0.04977481887605251,0.050283924025846916,0.008615625611905209,0.03544155081261002,0.061484237321323576,0.008615625611905209,-0.006461719208928907,0.061484237321323576,0.01311924809085574,0.03743880947718814,0.061484237321323576,0.01311924809085574,-0.05420011748580378,0.0706089680830233,0.057489719992167565,False,False,23.0,2022-04-06,0.00990796945369099,0.028162328929673297
SMH,2022-03-09,first_dark_red,short,139,128.5,-0.08629227803693462,-0.2604957378616827,-0.17420345982474805,False,0.021634241245136243,0.04007782101167323,-0.017120622568093435,0.043618677042801535,0.04451361867704284,-0.005136186770428042,0.07124513618677042,0.07657587548638134,-0.005136186770428042,-0.01891050583657594,0.07657587548638134,0.01891050583657594,-0.025875486381322865,0.07657587548638134,0.06377431906614772,False,False,20.0,2022-04-06,0.016264591439688725,0.028162328929673297
SMH,2022-03-18,early_rising_blue,long,146,134.595,0.14889105291587373,-0.0031823003586305965,-0.15207335327450433,False,-0.0023403543965229145,0.005126490582859633,0.019911586611687015,0.0045321148631078945,0.015602362643486023,0.019911586611687015,-0.020580259296407832,0.015602362643486023,0.02117463501615957,0.022809168245477185,0.027229837661131517,0.02117463501615957,-0.014004977896652893,0.05657713882387916,0.02823284668821291,False,False,,,,
